,AA,AAPL,GE,IBM,JNJ,MSFT,PEP,XOM
2009-07-06,9.26,138.61,11.48,101.65,56.62,23.2,57.13,68.1
2009-07-07,9.41,135.4,11.01,100.19,56.23,22.53,56.0,66.56
2009-07-08,9.46,137.22,10.71,100.68,57.08,22.56,54.85,66.26
2009-07-09,9.23,136.36,10.86,102.08,56.69,22.44,54.68,65.97
2009-07-10,9.34,138.52,10.78,100.83,56.93,22.39,54.71,65.12
2009-07-13,9.66,142.34,11.46,103.62,57.72,23.23,55.67,65.7
2009-07-14,9.59,142.27,11.64,103.25,58.23,23.11,56.09,66.22
2009-07-15,10.14,146.88,12.24,107.22,58.96,24.12,57.28,68.44
2009-07-16,10.44,147.52,12.4,110.64,59.25,24.44,57.26,68.46
2009-07-17,10.22,151.75,11.65,115.42,59.23,24.29,56.66,68.52
2009-07-20,10.6,152.91,11.67,116.44,59.06,24.53,56.08,68.94
2009-07-21,10.14,151.51,11.47,117.04,59.49,24.83,56.4,70.47
2009-07-22,10.2,156.74,11.63,115.57,59.19,24.8,55.89,69.99
2009-07-23,10.8,157.82,11.95,117.06,60.22,25.56,56.5,71.61
2009-07-24,11.02,159.99,12.03,117.64,61.51,23.45,56.41,72.29
2009-07-27,11.3,160.1,12.32,117.63,61.27,23.11,56.34,72.75
2009-07-28,11.26,160.0,12.52,117.28,60.92,23.47,55.97,71.89
2009-07-29,11.01,160.03,12.26,117.26,61.16,23.8,56.33,71.43
2009-07-30,11.46,162.79,13.11,117.86,61.79,23.81,56.6,70.72
2009-07-31,11.76,163.39,13.4,117.93,60.89,23.52,56.75,70.39
2009-08-03,12.6,166.43,13.72,119.92,61.1,23.83,56.2,70.65
2009-08-04,12.84,165.55,13.82,119.6,61.06,23.77,59.06,70.6
2009-08-05,13.28,165.11,13.99,118.47,60.45,23.81,58.39,70.03
2009-08-06,12.8,163.91,14.31,117.38,59.93,23.46,57.83,69.73
2009-08-07,13.0,165.51,14.7,119.33,59.9,23.56,57.74,69.47
2009-08-10,12.69,164.72,14.57,118.7,60.72,23.42,57.41,69.18
2009-08-11,12.71,162.83,13.99,117.79,60.22,23.13,56.91,68.13
2009-08-12,12.96,165.31,14.13,119.29,60.59,23.53,56.68,69.11
2009-08-13,13.71,168.42,14.1,119.58,60.32,23.62,56.49,68.75
2009-08-14,13.27,166.78,13.92,118.57,60.08,23.69,56.56,68.21
2009-08-17,12.41,159.59,13.36,116.86,59.82,23.25,56.18,66.55
2009-08-18,12.92,164.0,13.59,117.63,59.8,23.58,56.24,66.49
2009-08-19,12.48,164.6,13.53,118.57,60.37,23.65,56.45,68.0
2009-08-20,12.43,166.33,13.81,118.95,60.95,23.67,56.84,68.59
2009-08-21,12.56,169.22,14.21,119.9,61.03,24.41,57.49,69.92
2009-08-24,12.42,169.06,14.2,119.32,61.28,24.64,57.45,71.3
2009-08-25,12.35,169.4,14.3,118.83,61.14,24.64,57.29,70.68
2009-08-26,12.26,167.41,14.11,119.47,60.63,24.55,57.88,71.37
2009-08-27,12.4,169.45,14.19,119.43,60.49,24.69,57.76,70.86
2009-08-28,12.5,170.05,14.08,118.22,60.29,24.68,56.76,70.12
2009-08-31,12.05,168.21,13.9,118.05,60.44,24.65,56.67,69.15
2009-09-01,11.59,165.3,13.34,116.69,59.94,24.0,56.25,68.41
2009-09-02,11.55,165.18,13.2,116.09,59.76,23.86,56.35,68.18
2009-09-03,12.01,166.55,13.45,116.33,59.69,24.11,56.64,68.26
2009-09-04,12.18,170.31,13.87,117.46,60.32,24.62,57.54,69.18
2009-09-08,12.6,172.93,14.5,117.16,60.57,24.82,58.28,70.65
2009-09-09,12.81,171.14,14.87,116.76,60.92,24.78,58.04,70.5
2009-09-10,12.84,172.56,14.8,117.67,60.66,25.0,57.86,70.65
2009-09-11,12.99,172.16,14.67,118.05,60.42,24.86,58.81,69.98
2009-09-14,12.94,173.72,15.35,118.88,60.34,25.0,58.7,70.0
2009-09-15,13.99,175.16,16.0,119.35,60.15,25.2,58.29,69.49
2009-09-16,14.47,181.87,17.0,121.82,60.19,25.2,58.34,70.34
2009-09-17,14.05,184.55,16.66,121.88,60.77,25.3,58.8,69.84
2009-09-18,14.06,185.02,16.5,122.11,60.78,25.26,59.86,69.99
2009-09-21,13.94,184.02,16.76,121.57,60.67,25.3,59.02,69.57
2009-09-22,14.26,184.48,17.01,121.61,61.08,25.77,58.58,69.83
2009-09-23,14.14,185.5,17.0,120.82,60.77,25.71,58.47,69.0
2009-09-24,13.51,183.82,16.58,120.94,60.72,25.94,58.54,68.93
2009-09-25,13.08,182.37,16.37,121.08,60.62,25.55,58.68,68.7
2009-09-28,13.43,186.15,16.76,119.33,61.27,25.83,59.03,69.59
2009-09-29,13.31,185.38,16.71,118.81,60.93,25.75,58.51,69.07
2009-09-30,13.12,185.35,16.42,119.61,60.89,25.72,58.66,68.61
2009-10-01,12.92,180.86,15.97,117.9,59.81,24.88,58.46,67.27
2009-10-02,12.82,184.9,15.36,119.02,59.73,24.96,60.9,66.58
2009-10-05,13.42,186.02,15.83,119.75,59.82,24.64,60.85,67.58
2009-10-06,13.89,190.01,16.08,121.35,60.29,25.11,60.87,68.66
2009-10-07,14.2,190.25,16.16,122.78,60.71,25.1,61.17,68.67
2009-10-08,14.35,189.27,16.22,122.29,60.94,25.67,60.39,69.05
2009-10-09,14.24,190.47,16.18,125.93,61.74,25.55,60.59,69.27
2009-10-12,14.25,190.81,16.33,127.04,62.53,25.72,60.92,70.13
2009-10-13,14.11,190.02,16.39,127.02,61.01,25.81,60.6,70.26
2009-10-14,14.32,191.29,16.84,128.35,60.55,25.96,61.62,71.84
2009-10-15,14.36,190.56,16.79,127.98,60.94,26.71,62.68,72.94
2009-10-16,14.04,188.05,16.08,121.64,60.46,26.5,62.29,73.12
2009-10-19,14.07,189.86,15.84,123.06,61.16,26.36,62.05,73.62
2009-10-20,13.79,198.76,15.58,122.82,60.59,26.37,61.58,73.02
2009-10-21,13.82,204.92,15.53,120.87,60.31,26.58,61.84,73.31
2009-10-22,14.04,205.2,15.34,122.69,60.94,26.59,61.5,74.44
2009-10-23,13.73,203.94,15.2,120.36,60.54,28.02,61.03,73.57
2009-10-26,13.28,202.48,15.01,120.11,60.09,28.68,60.47,73.23
2009-10-27,12.81,197.37,14.93,120.65,60.02,28.59,61.0,74.91
2009-10-28,11.93,192.4,14.42,121.5,59.57,28.02,60.99,73.84
2009-10-29,13.0,196.35,14.87,122.87,59.86,28.22,61.39,73.96
2009-10-30,12.42,188.5,14.26,120.61,59.05,27.73,60.55,71.67
2009-11-02,12.48,189.31,14.47,120.56,59.49,27.88,60.6,72.15
2009-11-03,12.66,188.75,14.32,121.16,58.93,27.53,60.06,71.74
2009-11-04,12.51,190.81,14.19,121.29,59.52,28.06,60.38,71.3
2009-11-05,12.89,194.03,14.43,123.1,59.98,28.47,61.23,72.5
2009-11-06,12.89,194.34,15.33,123.49,60.3,28.52,61.76,72.58
2009-11-09,13.34,201.46,15.85,126.0,60.75,28.99,62.28,72.85
2009-11-10,13.47,202.98,15.78,126.91,61.23,29.01,62.08,72.61
2009-11-11,13.43,203.25,15.83,127.19,60.87,29.12,62.6,72.91
2009-11-12,13.2,201.99,15.75,126.26,61.15,29.36,61.27,71.9
2009-11-13,13.18,204.45,15.66,127.03,61.43,29.63,61.94,72.47
2009-11-16,13.61,206.63,16.0,128.21,62.19,29.54,62.43,74.43
2009-11-17,13.76,207.0,16.02,128.63,62.17,30.0,62.6,75.03
2009-11-18,13.76,205.96,16.09,128.15,62.32,30.11,62.3,75.27
2009-11-19,13.22,200.51,15.76,127.54,62.43,29.78,61.88,74.65
2009-11-20,13.13,199.92,15.59,126.96,62.31,29.62,62.08,74.38
2009-11-23,13.06,205.88,16.02,128.2,62.69,29.94,62.49,75.7
2009-11-24,12.92,204.44,16.12,127.93,63.18,29.91,62.5,75.97
2009-11-25,13.0,204.19,16.18,127.28,63.3,29.79,63.19,76.47
2009-11-27,12.66,200.59,15.94,125.7,62.89,29.22,62.3,74.87
2009-11-30,12.52,199.91,16.02,126.35,62.84,29.41,62.22,75.07
2009-12-01,12.8,196.97,16.17,127.94,63.51,30.01,63.87,76.04
2009-12-02,13.64,196.23,16.07,127.21,63.88,29.78,63.65,75.79
2009-12-03,13.27,196.48,16.0,127.55,64.16,29.83,62.76,74.99
2009-12-04,12.99,193.32,16.2,127.25,64.36,29.98,63.85,74.25
2009-12-07,13.05,188.95,16.08,127.04,64.37,29.79,64.23,73.77
2009-12-08,12.87,189.87,15.72,126.8,64.25,29.57,63.48,72.95
2009-12-09,13.08,197.8,15.66,128.39,64.38,29.71,61.8,72.79
2009-12-10,13.5,196.43,15.61,129.34,64.77,29.87,61.84,72.4
2009-12-11,14.61,194.67,15.92,129.68,64.85,29.85,61.27,72.83
2009-12-14,14.82,196.98,15.95,129.93,64.96,30.11,60.98,69.69
2009-12-15,14.68,194.17,15.75,128.49,64.74,30.02,60.99,69.17
2009-12-16,14.9,195.03,15.69,128.71,64.8,30.1,60.68,68.43
2009-12-17,14.5,191.86,15.79,127.4,64.47,29.6,60.04,68.22
2009-12-18,14.58,195.43,15.59,127.91,64.37,30.36,59.48,68.21
2009-12-21,15.73,198.23,15.57,128.65,64.33,30.52,60.48,68.51
2009-12-22,15.79,200.36,15.48,129.93,64.53,30.82,60.63,68.57
2009-12-23,16.0,202.1,15.41,130.0,64.57,30.92,60.68,68.26
2009-12-24,16.34,209.04,15.44,130.57,64.7,31.0,60.96,68.66
2009-12-28,16.1,211.61,15.34,132.31,64.94,31.17,61.16,69.08
2009-12-29,16.03,209.1,15.44,131.85,64.94,31.39,61.1,68.84
2009-12-30,16.3,211.64,15.35,132.57,64.91,30.96,61.31,68.77
2009-12-31,16.12,210.73,15.13,130.9,64.41,30.48,60.8,68.19
2010-01-04,16.65,214.01,15.45,132.45,64.68,30.95,61.24,69.15
2010-01-05,16.13,214.38,15.53,130.85,63.93,30.96,61.98,69.42
2010-01-06,16.97,210.97,15.45,130.0,64.45,30.77,61.36,70.02
2010-01-07,16.61,210.58,16.25,129.55,63.99,30.45,60.97,69.8
2010-01-08,17.02,211.98,16.6,130.85,64.21,30.66,60.77,69.52
2010-01-11,17.45,210.11,16.76,129.48,64.22,30.27,60.7,70.3
2010-01-12,15.52,207.72,16.77,130.51,64.56,30.07,61.55,69.95
2010-01-13,15.98,210.65,16.83,130.23,64.97,30.35,62.05,69.67
2010-01-14,15.81,209.43,16.7,132.31,65.1,30.96,62.8,69.68
2010-01-15,15.63,205.93,16.44,131.78,64.56,30.86,62.29,69.11
2010-01-19,15.62,215.04,16.54,134.14,65.35,31.1,62.33,69.27
2010-01-20,15.23,211.73,16.5,130.25,65.15,30.59,61.95,68.03
2010-01-21,14.25,208.07,16.02,129.0,63.97,30.01,60.94,66.7
2010-01-22,13.4,197.75,16.11,125.5,63.2,28.96,60.39,66.1
2010-01-25,13.39,203.07,16.37,126.12,63.22,29.32,60.23,65.85
2010-01-26,13.54,205.94,16.35,125.75,62.79,29.5,60.25,65.92
2010-01-27,13.3,207.88,16.3,126.33,63.44,29.67,60.29,65.54
2010-01-28,12.92,199.29,16.16,123.75,63.8,29.16,59.74,64.96
2010-01-29,12.73,192.06,16.08,122.39,62.86,28.18,59.62,64.43
2010-02-01,13.36,194.73,16.25,124.67,63.09,28.41,60.7,66.18
2010-02-02,13.67,195.86,16.85,125.53,63.99,28.46,61.15,66.96
2010-02-03,13.49,199.23,16.68,125.66,63.63,28.63,61.29,66.6
2010-02-04,12.91,192.05,16.04,123.0,62.64,27.84,59.64,64.72
2010-02-05,13.18,195.46,15.79,123.52,62.64,28.02,59.51,64.8
2010-02-08,13.06,194.12,15.6,121.88,62.37,27.72,58.96,64.35
2010-02-09,13.28,196.19,15.6,123.21,62.76,28.01,60.05,65.2
2010-02-10,13.16,195.12,15.69,122.81,62.73,27.99,60.38,64.85
2010-02-11,13.58,198.67,15.77,123.73,62.91,28.12,61.19,65.24
2010-02-12,13.28,200.38,15.55,124.0,62.72,27.93,60.92,64.8
2010-02-16,13.74,203.4,16.04,125.23,63.61,28.35,61.31,66.28
2010-02-17,13.6,202.55,16.15,126.33,63.98,28.59,62.11,65.76
2010-02-18,13.61,202.93,16.24,127.81,64.53,28.97,62.53,65.96
2010-02-19,13.53,201.67,16.17,127.19,63.81,28.77,62.66,65.87
2010-02-22,13.54,200.42,16.25,126.85,63.49,28.73,62.41,65.4
2010-02-23,13.18,197.06,15.95,126.46,63.31,28.33,61.78,64.94
2010-02-24,13.06,200.66,16.12,127.59,63.45,28.63,62.08,65.55
2010-02-25,13.31,202.0,15.92,127.07,63.28,28.6,62.3,65.14
2010-02-26,13.3,204.62,16.06,127.16,63.0,28.67,62.47,65.0
2010-03-01,13.31,208.99,15.9,128.57,63.39,29.02,63.43,65.4
2010-03-02,13.24,208.85,15.9,127.42,63.44,28.46,63.8,65.49
2010-03-03,13.34,209.33,16.03,126.88,63.4,28.46,63.98,65.43
2010-03-04,13.43,210.71,16.11,126.72,63.57,28.63,64.11,65.4
2010-03-05,13.84,218.95,16.35,127.25,64.04,28.59,64.37,66.47
2010-03-08,13.78,219.08,16.27,126.41,64.2,28.63,64.15,66.48
2010-03-09,13.67,223.02,16.49,125.55,64.27,28.8,64.36,66.78
2010-03-10,13.57,224.84,16.51,125.62,64.29,28.97,64.43,67.22
2010-03-11,13.64,225.5,16.48,127.6,64.22,29.18,64.97,67.22
2010-03-12,13.6,226.6,17.04,127.94,64.18,29.27,65.1,66.8
2010-03-15,13.51,223.84,17.29,127.83,64.57,29.29,66.15,66.3
2010-03-16,13.8,224.45,18.07,128.67,64.53,29.37,66.07,66.57
2010-03-17,14.46,224.12,18.04,127.76,64.65,29.63,66.57,67.36
2010-03-18,14.3,224.65,18.19,128.38,65.06,29.61,66.52,67.39
2010-03-19,14.26,222.25,18.07,127.71,65.11,29.59,66.56,67.04
2010-03-22,14.34,224.75,18.07,127.98,65.1,29.6,66.31,66.97
2010-03-23,14.5,228.36,18.33,129.37,65.36,29.88,66.86,66.95
2010-03-24,14.32,229.37,18.45,128.53,64.75,29.65,66.26,66.5
2010-03-25,14.11,226.65,18.3,129.24,64.57,30.01,66.55,66.3
2010-03-26,14.27,230.9,18.34,129.26,64.38,29.66,66.59,66.54
2010-03-29,14.44,232.39,18.4,128.59,64.82,29.59,66.55,67.3
2010-03-30,14.4,235.85,18.3,128.77,64.9,29.77,66.77,67.05
2010-03-31,14.24,235.0,18.2,128.25,65.2,29.29,66.16,66.98
2010-04-01,14.7,235.97,18.33,128.25,65.77,29.16,66.68,67.61
2010-04-05,14.73,238.49,18.53,129.35,65.4,29.27,65.98,68.19
2010-04-06,15.03,239.54,18.6,128.93,65.31,29.32,66.39,67.9
2010-04-07,14.74,240.6,18.5,128.48,65.22,29.35,65.99,67.34
2010-04-08,14.87,239.95,18.56,127.61,64.93,29.92,65.97,67.86
2010-04-09,14.39,241.79,18.52,128.76,65.14,30.34,66.36,68.76
2010-04-12,14.57,242.29,18.71,128.36,65.11,30.32,66.32,68.71
2010-04-13,14.34,242.43,18.95,129.03,65.68,30.45,66.39,68.66
2010-04-14,14.43,245.69,19.35,131.25,65.49,30.82,66.29,68.61
2010-04-15,14.31,248.92,19.5,130.89,65.51,30.87,66.27,68.26
2010-04-16,13.91,247.4,18.97,130.63,65.02,30.67,66.14,67.93
2010-04-19,13.72,247.07,18.94,132.23,66.03,31.04,66.12,68.23
2010-04-20,13.75,244.59,19.0,129.69,65.99,31.36,65.9,68.97
2010-04-21,13.71,259.22,19.03,128.99,65.39,31.33,65.98,68.92
2010-04-22,13.85,266.47,18.95,129.13,64.78,31.39,64.76,68.56
2010-04-23,14.11,270.83,19.07,129.99,65.04,30.96,64.71,69.24
2010-04-26,14.05,269.5,19.3,130.73,64.76,31.11,65.02,69.29
2010-04-27,13.44,262.04,18.7,128.82,64.28,30.85,64.23,68.27
2010-04-28,13.57,261.6,18.95,130.1,64.62,30.91,64.75,69.19
2010-04-29,13.72,268.64,19.49,130.46,65.01,31.0,65.2,68.66
2010-04-30,13.43,261.09,18.86,129.0,64.3,30.54,65.22,67.77
2010-05-03,13.15,266.35,19.26,129.6,65.33,30.86,65.69,67.84
2010-05-04,12.58,258.68,18.58,128.12,64.7,30.13,65.43,66.47
2010-05-05,12.46,255.99,18.1,127.46,65.14,29.85,65.2,66.17
2010-05-06,11.94,246.25,17.31,123.92,63.4,28.98,64.7,63.89
2010-05-07,12.0,235.86,16.88,122.1,63.31,28.21,64.57,63.7
2010-05-10,12.59,253.99,18.04,126.27,64.75,28.94,66.41,65.23
2010-05-11,12.13,256.52,18.0,126.89,64.67,28.88,66.55,64.46
2010-05-12,12.46,262.09,18.44,132.68,64.9,29.44,66.94,64.91
2010-05-13,12.8,258.36,18.05,131.48,64.67,29.24,66.48,64.74
2010-05-14,12.36,253.82,17.64,131.19,63.97,28.93,66.07,63.6
2010-05-17,12.1,254.22,17.56,130.44,63.88,28.94,66.75,63.27
2010-05-18,11.82,252.36,17.23,129.95,62.97,28.6,66.53,62.79
2010-05-19,11.78,248.34,17.26,128.86,62.22,28.24,66.04,62.45
2010-05-20,11.07,237.76,16.26,123.8,60.55,27.11,63.86,60.33
2010-05-21,11.35,242.32,16.42,125.42,60.88,26.84,63.58,60.88
2010-05-24,11.09,246.76,16.01,124.45,60.57,26.27,63.32,60.19
2010-05-25,11.3,245.22,15.95,124.52,60.35,26.07,62.89,59.71
2010-05-26,11.25,244.11,16.01,123.23,59.66,25.01,61.23,59.31
2010-05-27,11.82,253.35,16.66,126.39,59.03,26.0,62.9,61.46
2010-05-28,11.64,256.88,16.35,125.26,58.3,25.8,62.89,60.46
2010-06-01,11.19,260.83,15.98,124.34,58.76,25.89,62.76,59.25
2010-06-02,11.48,263.95,16.35,127.41,59.73,26.46,63.46,60.77
2010-06-03,11.37,263.12,16.45,127.96,59.77,26.86,63.37,61.56
2010-06-04,10.84,255.96,15.71,125.28,58.01,25.79,61.44,59.53
2010-06-07,10.51,250.94,15.41,124.13,58.0,25.29,61.73,59.3
2010-06-08,10.76,249.33,15.48,123.72,58.64,25.11,62.65,61.24
2010-06-09,10.8,243.2,15.32,123.9,58.17,24.79,62.49,60.03
2010-06-10,11.25,250.51,15.68,127.68,58.5,25.0,63.84,61.89
2010-06-11,11.36,253.51,15.56,128.45,58.46,25.66,63.56,61.86
2010-06-14,11.34,254.28,15.39,128.5,58.42,25.5,63.85,61.37
2010-06-15,11.59,259.69,15.79,129.79,59.14,26.58,64.24,62.51
2010-06-16,11.41,267.25,15.85,130.35,59.24,26.32,63.91,62.51
2010-06-17,11.18,271.87,15.91,130.98,59.18,26.37,64.49,62.6
2010-06-18,11.11,274.07,15.95,130.15,59.18,26.44,64.08,63.1
2010-06-21,11.72,270.17,16.1,130.65,59.13,25.95,64.02,63.13
2010-06-22,11.29,273.85,15.79,129.3,59.16,25.77,63.3,61.94
2010-06-23,11.43,270.97,15.39,130.11,59.24,25.31,62.73,61.1
2010-06-24,11.11,269.0,15.08,128.19,59.6,25.0,62.4,60.07
2010-06-25,11.23,266.7,14.91,127.12,58.7,24.53,60.77,59.1
2010-06-28,11.03,268.3,15.0,128.98,59.45,24.31,61.96,58.47
2010-06-29,10.34,256.17,14.48,125.09,59.24,23.31,61.23,57.29
2010-06-30,10.06,251.53,14.42,123.48,59.06,23.01,60.95,57.07
2010-07-01,10.05,248.48,14.12,122.57,59.07,23.16,61.52,56.61
2010-07-02,10.0,246.94,13.88,121.86,59.08,23.27,61.53,56.57
2010-07-06,10.21,248.63,13.97,123.46,59.08,23.82,61.64,57.46
2010-07-07,10.55,258.67,14.62,127.0,60.61,24.3,62.93,58.43
2010-07-08,10.72,258.09,14.83,127.97,61.38,24.41,64.0,58.81
2010-07-09,10.94,259.62,14.95,127.96,60.54,24.27,63.5,58.78
2010-07-12,10.87,257.29,14.93,128.67,60.21,24.83,63.74,58.94
2010-07-13,11.0,251.8,15.21,130.48,60.5,25.13,63.43,59.42
2010-07-14,10.91,252.73,15.2,130.72,60.62,25.44,63.56,59.26
2010-07-15,10.84,251.45,15.25,130.72,60.26,25.51,63.16,59.27
2010-07-16,10.41,249.9,14.55,128.03,59.44,24.89,62.45,57.96
2010-07-19,10.58,245.58,14.62,129.79,59.57,25.23,62.05,58.43
2010-07-20,10.85,251.89,14.94,126.55,58.58,25.48,64.73,58.95
2010-07-21,10.59,254.24,14.84,125.27,57.12,25.12,63.95,58.17
2010-07-22,10.82,259.02,15.21,127.47,57.02,25.84,64.21,59.38
2010-07-23,11.05,259.94,15.71,128.38,57.63,25.81,64.45,59.72
2010-07-26,11.23,259.28,16.14,128.41,57.74,26.1,64.98,60.39
2010-07-27,11.21,264.08,16.18,128.63,58.1,26.16,65.69,60.81
2010-07-28,11.04,260.96,16.05,128.43,57.83,25.95,65.2,60.91
2010-07-29,11.02,258.11,16.15,128.02,57.83,26.03,64.89,60.34
2010-07-30,11.17,257.25,16.12,128.4,58.09,25.81,64.91,59.68
2010-08-02,11.71,261.85,16.41,130.76,58.72,26.33,65.27,61.94
2010-08-03,11.56,261.93,16.4,130.37,59.35,26.16,65.77,62.72
2010-08-04,11.52,262.98,16.48,131.27,59.74,25.73,66.17,62.72
2010-08-05,11.58,261.7,16.52,131.83,59.76,25.37,65.58,62.71
2010-08-06,11.59,260.09,16.45,130.14,59.96,25.55,65.9,61.97
2010-08-09,11.66,261.75,16.38,132.0,60.05,25.61,66.42,62.45
2010-08-10,11.35,259.41,16.25,131.84,59.43,25.07,66.53,61.93
2010-08-11,10.66,250.19,15.7,129.83,58.5,24.86,65.45,60.39
2010-08-12,10.73,251.79,15.5,128.3,58.52,24.49,65.18,60.23
2010-08-13,10.64,249.1,15.38,127.87,58.15,24.4,65.56,59.91
2010-08-16,10.6,247.64,15.46,127.77,58.01,24.5,65.43,59.88
2010-08-17,10.95,251.97,15.58,128.45,59.22,24.71,65.55,60.82
2010-08-18,10.93,253.07,15.7,129.39,59.35,24.82,65.52,60.15
2010-08-19,10.66,249.88,15.25,128.9,58.72,24.44,64.66,59.29
2010-08-20,10.57,249.64,15.03,127.5,58.74,24.23,64.8,58.89
2010-08-23,10.37,245.8,14.89,126.47,58.87,24.28,64.82,59.5
2010-08-24,10.06,239.93,14.57,124.9,58.01,24.04,64.78,58.94
2010-08-25,10.11,242.89,14.57,125.27,57.98,24.1,64.57,58.91
2010-08-26,10.01,240.28,14.5,122.78,57.8,23.82,64.13,58.48
2010-08-27,10.32,241.62,14.71,124.73,57.6,23.93,64.12,59.8
2010-08-30,10.25,242.5,14.52,123.4,57.3,23.64,63.6,59.0
2010-08-31,10.22,243.1,14.48,123.13,57.02,23.47,64.18,59.11
2010-09-01,10.52,250.33,15.01,125.77,58.29,23.9,64.89,60.91
2010-09-02,10.83,252.17,15.15,125.04,58.61,23.94,64.97,61.06
2010-09-03,10.88,258.77,15.39,127.58,58.93,24.29,65.57,61.32
2010-09-07,10.86,257.81,15.44,125.95,58.7,23.96,65.48,60.55
2010-09-08,11.07,262.92,15.7,126.08,58.85,23.93,65.43,60.75
2010-09-09,11.23,263.07,15.91,126.36,59.82,24.01,66.1,61.05
2010-09-10,11.17,263.41,15.98,127.99,59.98,23.85,66.41,61.2
2010-09-13,11.52,267.04,16.25,129.61,60.32,25.11,66.25,61.0
2010-09-14,11.49,268.06,16.16,128.85,60.58,25.03,65.98,61.01
2010-09-15,11.43,270.22,16.34,129.43,61.05,25.12,66.5,61.0
2010-09-16,11.26,276.57,16.23,129.67,61.29,25.33,66.61,60.97
2010-09-17,11.17,275.37,16.29,130.19,61.57,25.22,66.12,60.78
2010-09-20,11.38,283.23,16.55,131.79,62.09,25.43,66.89,61.55
2010-09-21,11.17,283.77,16.52,131.98,61.94,25.15,66.46,61.54
2010-09-22,11.7,287.75,16.5,132.57,61.97,24.61,66.66,61.45
2010-09-23,11.74,288.92,16.14,131.67,61.81,24.43,65.79,61.15
2010-09-24,12.2,292.32,16.66,134.11,62.14,24.78,66.13,61.75
2010-09-27,12.07,291.16,16.43,134.65,62.03,24.73,66.37,61.71
2010-09-28,12.22,286.86,16.44,134.89,62.43,24.68,66.78,62.06
2010-09-29,12.08,287.37,16.36,135.48,62.31,24.5,66.75,61.59
2010-09-30,12.11,283.75,16.25,134.14,61.96,24.49,66.44,61.79
2010-10-01,12.23,282.52,16.36,135.64,61.75,24.38,67.0,62.54
2010-10-04,11.92,278.64,16.1,135.25,61.67,23.91,66.87,62.19
2010-10-05,12.14,288.94,16.51,137.66,62.8,24.35,67.76,63.26
2010-10-06,12.37,289.19,16.9,137.84,63.21,24.43,68.11,63.94
2010-10-07,12.2,289.22,17.05,138.72,63.22,24.53,66.1,63.85
2010-10-08,12.89,294.07,17.12,138.85,63.23,24.57,65.75,64.38
2010-10-11,12.93,295.36,16.96,139.66,63.3,24.59,65.52,64.55
2010-10-12,13.2,298.54,17.19,139.85,63.29,24.83,66.08,64.7
2010-10-13,13.37,300.14,17.28,140.37,63.58,25.34,66.4,65.04
2010-10-14,13.13,302.31,17.16,141.5,63.74,25.23,66.64,65.3
2010-10-15,13.13,314.74,16.3,141.06,63.57,25.54,66.68,65.19
2010-10-18,13.14,318.0,16.25,142.83,63.86,25.82,66.5,66.28
2010-10-19,12.67,309.49,16.07,138.03,63.29,25.1,65.41,65.12
2010-10-20,12.95,310.53,16.05,139.07,63.6,25.31,64.97,66.01
2010-10-21,12.78,309.52,16.1,139.83,63.99,25.42,65.18,66.32
2010-10-22,12.72,307.47,16.06,139.67,63.81,25.38,65.01,66.34
2010-10-25,12.88,308.84,16.06,139.84,63.98,25.19,65.05,66.2
2010-10-26,12.87,308.05,16.16,140.67,63.84,25.9,64.79,66.53
2010-10-27,12.7,307.83,16.11,141.43,63.57,26.05,64.27,65.67
2010-10-28,12.65,305.24,16.08,140.9,63.56,26.28,65.01,66.22
2010-10-29,13.14,300.98,16.02,143.6,63.74,26.67,65.3,66.49
2010-11-01,13.05,304.18,15.95,143.32,63.69,26.95,65.55,66.95
2010-11-02,13.24,309.36,15.94,143.84,63.88,27.39,65.8,67.84
2010-11-03,13.14,312.8,16.06,144.17,64.19,27.03,65.2,67.97
2010-11-04,13.6,318.27,16.51,146.79,64.76,27.14,65.35,69.38
2010-11-05,14.0,317.13,16.73,146.92,64.65,26.85,65.08,70.0
2010-11-08,13.96,318.62,16.71,146.46,64.33,26.81,65.11,70.32
2010-11-09,13.75,316.08,16.62,146.14,64.31,26.95,65.3,70.63
2010-11-10,13.88,318.03,16.55,146.55,63.95,26.94,65.25,71.13
2010-11-11,13.81,316.65,16.35,145.43,63.92,26.68,64.9,71.83
2010-11-12,13.49,308.03,16.25,143.74,63.67,26.27,64.64,70.99
2010-11-15,13.4,307.04,16.2,143.64,64.14,26.2,64.42,70.48
2010-11-16,13.03,301.59,15.86,142.24,63.14,25.81,64.04,68.94
2010-11-17,12.94,300.5,15.81,141.95,63.06,25.57,63.94,69.01
2010-11-18,13.38,308.43,16.04,144.36,63.83,25.84,64.77,70.31
2010-11-19,13.38,306.73,16.22,145.05,63.83,25.69,64.71,70.54
2010-11-22,13.29,313.36,16.03,145.39,63.62,25.73,64.7,70.19
2010-11-23,13.13,308.73,15.76,143.18,62.87,25.12,63.89,68.98
2010-11-24,13.31,314.8,15.94,145.81,63.29,25.37,64.33,69.88
2010-11-26,13.17,315.0,15.8,143.9,62.3,25.25,63.9,69.23
2010-11-29,13.29,316.87,15.97,142.89,61.91,25.31,64.01,69.45
2010-11-30,13.13,311.15,15.83,141.46,61.55,25.26,64.63,69.56
2010-12-01,13.57,316.4,16.3,144.41,62.42,26.04,65.63,71.33
2010-12-02,14.09,318.15,16.68,145.18,62.6,26.89,65.2,71.48
